Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
District of Columbia,2627365,372280,454891,1936340,274367,1753965,303674,798300,95,703775,95,603189,85.5,536772,92.9,1643985,N/A,907980,N/A,72700,2700,0,40026,695843,N/A,1195503,N/A,185,4783,112919,95,93135,95,363195,415826,3008100,743984,95,566538,92.9,1837661,301377,430889,783731,95,594735,90.1,1909410,289138,397856,193040,29.2,193040,29.2,187198,30.7,181093,31.4,43293,49.6,N/A,N/A
Dept of Defense,7617210,N/A,N/A,9304379,N/A,8583340,N/A,4646038,N/A,4265766,N/A,3704360,N/A,3424092,N/A,4929070,N/A,2444640,N/A,210700,32800,0,330171,3014445,N/A,5907275,N/A,3515,48973,478958,0,254215,0,880326,0,0,4527471,0,3629462,0,9095542,0,0,4633171,0,3700286,0,9282193,0,0,148376,0,148376,0,145413,0,139552,0,25643,0,N/A,N/A
Delaware,3180395,326608,412935,2139041,219667,1940284,251922,855850,87.9,765826,95,711679,73.1,638188,82.9,1880895,N/A,1193800,N/A,101900,3800,0,63535,815741,N/A,1256984,N/A,163,2618,224151,95,192795,95,698717,369875,1683590,818331,95,683076,81.3,2062222,245559,378705,850815,92.6,709413,77.2,2128540,231603,346054,182604,19.9,182604,19.9,180219,21.5,175167,22.7,92554,49,N/A,N/A
Florida,59164075,275467,343024,41496329,193206,38491582,223168,17633718,82.1,16127615,93.5,14855016,69.2,13636964,79.1,34994055,N/A,21657020,N/A,2461900,51100,0,1503100,15428250,N/A,24389986,N/A,3310,171683,4920700,95,4225732,94,14271632,317335,1315540,17127515,91.6,14468415,77.4,40528066,216774,316453,17588349,86.5,14835132,72.9,41417200,203644,290904,1996360,9.8,1996360,9.8,1980887,10.6,1949670,11.3,1159568,25.8,N/A,N/A
Federated States of Micronesia,279520,273182,418920,196826,192363,137959,206761,84441,82.5,55639,83.4,71090,69.5,49834,74.7,140580,N/A,126140,N/A,12800,0,0,13840,105374,N/A,77451,N/A,0,161,4219,87.7,3896,81,11303,234892,5808810,66776,84.4,59066,74.6,162537,205374,353188,80673,86.9,70373,75.8,191576,206393,301139,9486,10.2,9486,10.2,9261,11.7,8013,12,796,16.5,N/A,N/A
Georgia,27534265,259331,339362,16858730,158784,15319343,188812,7239827,68.2,6471919,79.8,6064354,57.1,5467513,67.4,16231065,N/A,10405800,N/A,862600,34800,0,347797,6500962,N/A,9955301,N/A,1727,52943,1488293,95,1310974,86.4,4327645,285285,1815100,6959677,77.4,5864181,65.2,16309168,181453,306341,7205233,72.3,6050845,60.7,16793545,168595,276425,949473,9.5,949473,9.5,933370,10.4,904286,11.1,410977,27.1,N/A,N/A
Guam,372310,220970,325037,391641,232443,335440,292848,158523,94.1,131705,95,143966,85.4,121346,95,243530,N/A,103680,N/A,24700,400,0,13823,124120,N/A,252847,N/A,22,829,18183,95,17030,95,57597,358614,2318100,148083,95,135969,95,371775,283115,283522,158086,95,143820,94.1,390890,255883,243721,12108,7.9,12108,7.9,11852,9,11215,9.8,3156,19.7,N/A,N/A
Hawaii,4457400,314817,399407,3458176,244244,3091066,276976,1290510,91.1,1125128,95,1151096,81.3,1006699,90.2,2628780,N/A,1700120,N/A,124900,3600,0,71573,1291420,N/A,2093713,N/A,313,1157,280257,95,257218,95,972161,362141,1660430,1215787,95,1088836,89.9,3301681,272616,368043,1279617,95,1145538,86.1,3437973,258367,334978,272795,20.5,272795,20.5,267215,22.1,258555,23.2,124472,46.4,N/A,N/A
Iowa,8917495,282640,367243,6030961,191151,5482047,225763,2223325,70.5,1977857,81.5,2025379,64.2,1812231,74.6,5257475,N/A,3350620,N/A,292700,16700,0,180762,2337275,N/A,3510226,N/A,592,2106,562952,95,531609,95,1977272,357583,1612700,2118256,79.1,1938899,72.4,5804924,216903,333205,2205640,74.5,2016494,68.1,5995196,202579,301324,556764,18.8,556764,18.8,547351,20.5,530292,21.8,279988,50.6,N/A,N/A
Idaho,4550880,254657,339906,2842933,159084,2600275,194215,1139105,63.7,1022740,76.4,1006364,56.3,905500,67.6,2628300,N/A,1747380,N/A,160000,15200,0,90294,1071568,N/A,1675382,N/A,426,5263,286613,95,262426,90.3,901988,310313,1565650,1094969,73.2,970502,64.9,2754439,184193,304324,1133160,67.8,1003852,60.1,2831746,169478,272367,219206,13.1,219206,13.1,215782,14.4,209291,15.6,111117,38.2,N/A,N/A
Indian Health Svc,3919465,188181,N/A,2522547,121113,2193838,N/A,1156347,55.5,993653,N/A,913768,43.9,789256,N/A,2171885,N/A,1628780,N/A,111400,7400,0,41984,1148087,N/A,1331303,N/A,48,1125,186332,0,147977,0,471527,0,0,1092530,0,868851,0,2400414,0,0,1148803,0,911819,0,2509710,0,0,138388,0,138388,0,133843,0,124402,0,39532,0,N/A,N/A
Illinois,36703475,289646,372475,26391286,208268,23450988,237986,9994338,78.9,8673719,88,8997570,71,7840675,79.6,22963335,N/A,12532940,N/A,1182100,25100,0,687431,9326685,N/A,16338949,N/A,2227,35994,2010893,95,1861118,91.1,6820451,333807,1796340,9392617,86.7,8496888,78.4,25113761,231724,338662,9898067,83,8945483,75,26207486,219771,307789,2259237,18.9,2259237,18.9,2205467,20.3,2126328,21.6,924458,45.2,N/A,N/A
Indiana,18011580,267543,348775,11021734,163716,10045173,194514,4321745,64.2,3860100,74.7,3878197,57.6,3499046,67.8,11245480,N/A,6127900,N/A,630400,7800,0,317276,3951852,N/A,6714144,N/A,510,37952,1043311,95,973521,89.7,3377101,311041,1658920,4131648,72.4,3737983,65.5,10645583,186600,315714,4297108,68.1,3869691,61.3,10979887,173901,285270,627668,9.9,627668,9.9,618392,10.8,600737,11.6,315998,29.1,N/A,N/A
Kansas,7985305,274097,360826,5288254,181520,4732938,213864,2211903,75.9,1947258,88,1894985,65,1678574,75.8,4718765,N/A,2986440,N/A,261100,19000,0,138964,1983041,N/A,3157111,N/A,647,8491,511048,95,460493,95,1559837,328050,1679400,2099552,85.6,1809464,73.8,5061038,206430,325705,2193988,80.4,1886017,69.1,5251335,192499,292718,401549,14.7,401549,14.7,393703,16.1,379996,17.2,190634,40.1,N/A,N/A
Kentucky,11625465,260213,335530,7416401,166001,6807765,196484,3067616,68.7,2772228,80,2657294,59.5,2412340,69.6,6574465,N/A,4647800,N/A,392900,10300,0,241228,3020615,N/A,4151389,N/A,402,2767,748726,95,670251,89.3,2236176,297933,1548900,2952456,77.6,2568317,67.5,7188289,188859,305438,3052879,72.8,2650706,63.2,7387478,176099,277123,493486,11.8,493486,11.8,487407,12.8,475503,13.7,247508,33,N/A,N/A
Louisiana,9979690,214673,280237,6878980,147973,6368495,178832,2913473,62.7,2647519,74.3,2553291,54.9,2343648,65.8,5603010,N/A,4039080,N/A,329600,8000,0,201908,2795902,N/A,3876771,N/A,617,3782,686136,92.6,646280,87.2,2057698,277684,1346750,2824662,72,2490335,63.5,6718283,171240,254369,2905972,66.8,2550019,58.7,6864468,157901,229559,294673,6.8,294673,6.8,292428,7.5,287829,8.1,155239,20.9,N/A,N/A
Massachusetts,22649530,328611,408858,17808499,258375,15832106,285793,7317814,95,6408032,95,5783520,83.9,5060389,91.3,13393450,N/A,8613480,N/A,631300,11300,0,408826,7050904,N/A,10347215,N/A,1104,450,1538737,95,1222494,95,4478032,382956,1936960,6887133,95,5451585,90.6,16911686,281077,376442,7240193,95,5737412,87.8,17656946,270185,346581,1852518,28.3,1852518,28.3,1800491,29.9,1720800,31.1,691054,59.1,N/A,N/A
Maryland,21358030,353278,453366,14449342,239003,12740458,270441,5524002,91.4,4767262,95,4802024,79.4,4154933,88.2,13537370,N/A,7176060,N/A,616000,28600,0,370364,5203357,N/A,8849030,N/A,2805,23786,1052519,95,950665,95,3557120,370767,2226200,5179678,95,4518966,87.5,13709589,265541,413684,5465534,95,4767876,83.9,14328814,252102,375774,1286802,22.6,1286802,22.6,1253572,24.3,1200134,25.5,483736,50.4,N/A,N/A
Maine,4734600,352221,432238,3466190,257860,3158532,288353,1304591,95,1172197,95,1116449,83.1,1001555,91.4,2782280,N/A,1788220,N/A,158400,5700,0,145125,1392846,N/A,1922638,N/A,357,5224,363920,95,302408,95,1175497,412072,1659720,1243195,95,1065573,89.9,3331400,281146,399566,1293326,95,1110462,86.7,3442517,268805,369696,364456,28.5,364456,28.5,357708,30.2,346996,31.7,181506,63.6,N/A,N/A
Marshall Islands,153140,196987,322203,94349,121363,69567,146367,43310,55.7,28970,61,34694,44.6,25608,53.9,64740,N/A,74500,N/A,12800,1100,0,3085,65737,N/A,25522,N/A,0,5,1609,43.1,1442,38.6,4434,118810,4103430,34923,60.9,30002,52.3,81113,141388,266939,41335,59.7,34169,49.4,91753,132595,221307,1707,2.5,1707,2.5,1705,3,1510,3.2,129,3.5,N/A,N/A
Michigan,28279210,283164,360570,18426075,184503,16857590,214940,6918907,69.3,6222644,79.3,6211042,62.2,5596764,71.4,16305590,N/A,10985120,N/A,964500,24000,0,472649,7236688,N/A,10711381,N/A,1399,3958,1751731,95,1611184,91.3,5736559,324944,1601860,6628301,77.1,5963979,69.4,17803927,207143,329019,6891617,73.2,6197864,65.8,18372015,195023,300191,1580289,16.8,1580289,16.8,1552306,18.1,1507727,19.2,750019,42.5,N/A,N/A
Minnesota,17568150,311512,405125,12563962,222780,11145445,257016,4429193,78.5,3821431,88.1,4055673,71.9,3520331,81.2,11075030,N/A,5969820,N/A,510500,12800,0,361001,4433367,N/A,7761190,N/A,1060,7344,972581,95,917171,95,3574546,388376,1908790,4122884,86.3,3804481,79.6,11897082,248993,367682,4367114,82.6,4022079,76.1,12439502,235240,332226,1324793,25.1,1324793,25.1,1288525,27,1236573,28.5,550662,59.8,N/A,N/A
Missouri,15054025,245282,315807,10357903,168766,9455177,198353,4242950,69.1,3808063,79.9,3612236,58.9,3260825,68.4,8956265,N/A,5643960,N/A,439500,14300,0,253902,3734210,N/A,6366320,N/A,824,2647,1053915,95,939697,88.5,3220758,303262,1417470,4061482,77.6,3476808,66.4,9995798,190916,287526,4213404,73,3597192,62.4,10297377,178484,260931,799905,13.9,799905,13.9,786060,15,764585,16,390866,36.8,N/A,N/A
Northern Mariana Islands,144140,277989,399556,115967,223654,93549,259318,46482,89.6,36084,95,43832,84.5,34397,95,111520,N/A,28720,N/A,3700,200,0,1399,15958,N/A,98600,N/A,1,9,3287,87.6,3151,83.9,9788,260735,3839640,41529,95,39586,93.6,106228,251189,340837,46163,95,43764,91,115433,239975,299655,2824,5.9,2824,5.9,2728,6.5,2500,6.9,529,14.1,N/A,N/A
Mississippi,6979615,234518,306451,4255896,143000,3931735,172629,1830632,61.5,1663218,73,1594414,53.6,1457822,64,3996055,N/A,2743360,N/A,234000,6200,0,95472,1715038,N/A,2440628,N/A,227,4531,455628,93.6,418787,86,1315036,270198,1434090,1779072,70.6,1554701,61.7,4158747,164936,276812,1826973,65.4,1593230,57.1,4249739,152175,249926,163170,5.8,163170,5.8,162170,6.4,159385,7,92393,19,N/A,N/A
Montana,2612755,244462,310972,1844008,172534,1693602,201574,727800,68.1,655291,78,630968,59,572580,68.1,1462355,N/A,1037900,N/A,106500,6000,0,62582,765546,N/A,1013065,N/A,200,2615,204477,95,184167,89.2,639836,309943,1265640,696695,75.9,608247,66.3,1783526,194369,284739,723003,71.8,629179,62.4,1835722,182184,259299,150404,14.9,150404,14.9,147816,16.1,143781,17.1,77377,37.5,N/A,N/A
North Carolina,28966550,276185,353796,19242429,183469,17411949,212668,9617724,91.7,8651140,95,7008446,66.8,6317853,77.2,17270670,N/A,10706080,N/A,954100,35700,0,523250,7171466,N/A,11544866,N/A,1513,1334,2461715,95,1824595,95,5550587,316978,1654200,9221382,95,6738424,75,18498475,205870,322369,9561819,95,6982746,70.7,19135448,193712,293234,1382666,14,1382666,14,1356636,15.1,1312356,16,631733,36.1,N/A,N/A
North Dakota,1822740,239185,313244,1290428,169334,1167612,200658,526674,69.1,471241,81,445391,58.4,402160,69.1,1125020,N/A,641920,N/A,53600,2200,0,40012,457285,N/A,792629,N/A,174,328,127143,95,109608,91.5,380710,317669,1520920,500900,78.6,427370,67.1,1234597,193739,286034,521828,73.7,443992,62.7,1281038,180948,257463,103814,14.7,103814,14.7,101631,15.9,98135,16.9,51469,42.9,N/A,N/A
Nebraska,5253500,271582,360240,3750914,193905,3354321,230010,1415475,73.2,1237134,84.8,1277956,66.1,1122984,77,3313920,N/A,1781780,N/A,152200,5600,0,96222,1315644,N/A,2328965,N/A,362,9721,317623,95,296971,95,1095631,350649,1681350,1337260,82.7,1213584,75,3585790,221700,324810,1403289,77.8,1270979,70.5,3727995,206706,291290,294954,16.4,294954,16.4,288859,17.9,278162,19.1,134642,43.1,N/A,N/A
New Hampshire,4875640,358579,441451,2906241,213740,2655779,240460,1189842,87.5,1072333,95,972397,71.5,884013,80,3115400,N/A,1567440,N/A,188700,4100,0,89651,1060906,N/A,1755093,N/A,252,339,302282,95,255491,95,888612,350035,1920570,1140727,95,938310,78.3,2813656,234751,406788,1182224,91.2,968736,74.7,2892434,223166,376181,273042,21.1,273042,21.1,268663,22.4,260342,23.6,128797,50.7,N/A,N/A
New Jersey,28318765,318826,407839,19546431,220063,17483649,251795,8378969,94.3,7389451,95,7006527,78.9,6169875,88.9,17255625,N/A,10019640,N/A,1010500,33000,0,584518,7383525,N/A,11576275,N/A,1516,597,1679925,95,1433711,95,4793673,324877,1919220,7969994,95,6673970,87.6,18743109,246025,371717,8328704,95,6977336,83.4,19452396,232476,338438,1299094,15.5,1299094,15.5,1274836,16.7,1232930,17.8,528721,35.8,N/A,N/A
New Mexico,5932685,282936,365991,4659039,222195,4167890,257120,1969913,93.9,1719422,95,1571014,74.9,1377288,85,3437985,N/A,2297900,N/A,190400,6400,0,121032,1883200,N/A,2637565,N/A,2803,14439,462925,95,379301,95,1338899,354576,1571130,1863046,95,1495106,83.6,4462451,249657,331911,1955773,95,1565519,79.2,4634708,234569,300261,408428,20.7,408428,20.7,401015,22.4,386459,23.8,181634,48.1,N/A,N/A
Nevada,7440340,241557,311635,5515294,179059,5040478,211118,2381974,77.3,2143502,89.8,1957516,63.6,1770812,74.2,4668440,N/A,2506200,N/A,260200,5500,0,188948,1886719,N/A,3438543,N/A,462,622,515611,95,440998,88.9,1480026,298409,1500150,2300821,87.8,1895564,72.3,5357402,204340,283787,2375010,82.1,1954339,67.5,5501830,190073,257044,344432,11.9,344432,11.9,339660,13,331145,13.9,162860,32.8,N/A,N/A
New York State,58841195,302470,381460,44501510,228758,40197753,260597,18309832,94.1,16291837,95,15666140,80.5,13947473,90.4,36419215,N/A,20437880,N/A,1956500,27600,0,1457598,16039490,N/A,26961733,N/A,3093,39596,3615333,95,3183294,95,10812565,328037,1785150,17456171,95,14968736,89.2,42766917,254971,350804,18193499,95,15604095,85.1,44273719,241582,321071,2977506,16.2,2977506,16.2,2924836,17.4,2840523,18.4,1240076,37.6,N/A,N/A
Ohio,30273155,258986,332267,20756232,177569,18953452,208026,7662742,65.6,6861189,75.3,7047913,60.3,6344799,69.6,18336015,N/A,10904640,N/A,1009200,23300,0,636899,7792940,N/A,12301410,N/A,1783,23200,1933826,94.5,1830108,89.4,6554120,320288,1479400,7313390,73.1,6760541,67.6,20006936,200055,302710,7602440,69.1,7015988,63.8,20630287,187578,275254,1660482,15.1,1660482,15.1,1628603,16.3,1580622,17.3,800304,39.1,N/A,N/A
Oklahoma,9319430,235519,310158,6682895,168889,6129253,203987,2943679,74.4,2664658,88.7,2385487,60.3,2162045,72,5114350,N/A,3843880,N/A,338800,22400,0,157445,2680133,N/A,3834312,N/A,724,10281,712193,95,591688,93.2,1962107,308929,1467320,2848825,85.7,2313926,69.6,6501255,195513,280265,2933975,79.3,2381329,64.3,6665675,180083,251779,416772,11.3,416772,11.3,411864,12.4,401915,13.4,214140,33.7,N/A,N/A
Oregon,13508355,320275,403093,9188135,217845,8287785,247310,3429268,81.3,3032651,90.5,3043192,72.2,2713135,81,8188395,N/A,4834260,N/A,466300,19400,0,279060,3338362,N/A,5546482,N/A,1084,23147,782522,95,720972,94.1,2633338,343742,1763310,3247999,89,2907501,79.7,8805462,241393,370318,3398867,85.2,3031657,76,9133955,228925,338562,805724,20.2,805724,20.2,784230,21.5,753501,22.5,331074,43.2,N/A,N/A
Pennsylvania,40725085,318115,400547,26986055,210796,24433051,240308,11548979,90.2,10340543,95,9347130,73,8378360,82.4,23936065,N/A,15171020,N/A,1564300,53700,0,798087,10342174,N/A,15841929,N/A,1917,1948,2895286,95,2425183,95,8283701,346111,1701590,11013919,95,8927491,80.6,25885009,233587,367504,11456709,94.7,9289218,76.7,26801071,221422,336458,2101287,17.4,2101287,17.4,2063995,18.6,2000533,19.7,985275,41.2,N/A,N/A
Puerto Rico,8597450,269201,328026,7937790,248546,6978770,266267,3136418,95,2709058,95,2767749,86.7,2391935,91.3,5361630,N/A,3017720,N/A,216500,1600,0,157468,3011567,N/A,4768273,N/A,67,415,718469,95,630434,92.8,2036651,299659,1264970,2943713,95,2604667,91.4,7567627,265690,301846,3130409,95,2765945,89.9,7927747,257711,279482,167121,5.4,167121,5.4,166254,5.8,163643,6.2,83763,12.3,N/A,N/A
Republic of Palau,51200,237786,308750,51317,238329,44641,269197,20732,95,17683,95,18481,85.8,15901,95,15800,N/A,31600,N/A,3800,0,0,2365,38588,N/A,10153,N/A,0,211,1879,94.3,1815,91.1,5548,278514,2570280,19224,95,17363,93.1,48413,259657,274604,20669,95,18468,90.6,51203,251328,251313,1512,7.4,1512,7.4,1467,7.9,1374,8.3,188,9.4,N/A,N/A
Rhode Island,3386635,319687,396160,2615951,246937,2364166,276554,1118515,95,987431,95,925909,87.4,814940,95,1982535,N/A,1309600,N/A,90600,3900,0,66967,1012574,N/A,1533350,N/A,407,2653,234259,95,200002,95,718998,384396,1810590,1058902,95,876965,94.6,2513358,270985,365139,1110718,95,921430,91.7,2600867,258834,337032,236926,23.6,236926,23.6,232804,25.1,225839,26.4,101047,54,N/A,N/A
South Carolina,13556565,263300,335764,8546321,165989,7872672,194987,3644921,70.8,3303205,81.8,3075003,59.7,2798796,69.3,7512625,N/A,5536740,N/A,464500,42700,0,233695,3343201,N/A,4965675,N/A,575,3175,991425,95,857432,91.5,2826564,301654,1446770,3515517,79.5,2977821,67.4,8301473,187817,306711,3627569,74.7,3067042,63.2,8514544,175332,279157,516565,10.6,516565,10.6,510688,11.6,499623,12.4,288213,30.8,N/A,N/A
South Dakota,2562975,289713,383933,1660369,187685,1491925,223490,738681,83.5,653779,95,584114,66,521009,78,1507875,N/A,958400,N/A,93500,3200,0,42492,628919,N/A,988757,N/A,64,137,195819,95,158788,95,521476,343368,1687600,701895,95,558158,75.6,1589367,215332,347239,733405,89.1,582850,70.8,1651142,200505,311233,132727,16.1,132727,16.1,130397,17.7,126374,18.9,67489,44.4,N/A,N/A
